problem_id,model,difficulty,answer_file,test_file,passed,tests_passed,tests_total,tests_passed_pct,loc,error
1,gemini_v3_flash,,1.txt,1.txt,True,115,115,100.0,6,
2,gemini_v3_flash,,2.txt,2.txt,True,20,20,100.0,7,
3,gemini_v3_flash,,3.txt,3.txt,False,3,87,3.4482758620689653,19,
4,gemini_v3_flash,,4.txt,4.txt,False,57,69,82.6086956521739,18,
5,gemini_v3_flash,,5.txt,5.txt,True,95,95,100.0,19,
6,gemini_v3_flash,,6.txt,6.txt,True,6,6,100.0,12,
7,gemini_v3_flash,,7.txt,7.txt,True,96,96,100.0,12,
8,gemini_v3_flash,,8.txt,8.txt,True,93,93,100.0,11,
9,gemini_v3_flash,,9.txt,9.txt,True,75,75,100.0,10,
10,gemini_v3_flash,,10.txt,10.txt,True,185,185,100.0,16,
11,gemini_v3_flash,,11.txt,11.txt,True,183,183,100.0,12,
12,gemini_v3_flash,,12.txt,12.txt,True,21,21,100.0,17,
13,gemini_v3_flash,,13.txt,13.txt,True,71,71,100.0,11,
14,gemini_v3_flash,,14.txt,14.txt,True,69,69,100.0,17,
15,gemini_v3_flash,,15.txt,15.txt,True,159,159,100.0,8,
16,gemini_v3_flash,,16.txt,16.txt,False,65,69,94.20289855072464,24,
17,gemini_v3_flash,,17.txt,17.txt,True,122,122,100.0,19,
18,gemini_v3_flash,,18.txt,18.txt,True,77,77,100.0,18,
19,gemini_v3_flash,,19.txt,19.txt,True,128,128,100.0,27,
20,gemini_v3_flash,,20.txt,20.txt,False,61,64,95.3125,18,
21,gemini_v3_flash,,21.txt,21.txt,True,95,95,100.0,33,
22,gemini_v3_flash,,22.txt,22.txt,False,88,93,94.6236559139785,19,
23,gemini_v3_flash,,23.txt,23.txt,True,1,1,100.0,55,
24,gemini_v3_flash,,24.txt,24.txt,False,65,66,98.48484848484848,27,
25,gemini_v3_flash,,25.txt,25.txt,False,115,117,98.29059829059828,31,
26,gemini_v3_flash,,26.txt,26.txt,True,67,67,100.0,31,
27,gemini_v3_flash,,27.txt,27.txt,True,8,8,100.0,25,
28,gemini_v3_flash,,28.txt,28.txt,True,100,100,100.0,26,
29,gemini_v3_flash,,29.txt,29.txt,True,92,92,100.0,16,
30,gemini_v3_flash,,30.txt,30.txt,True,114,114,100.0,26,
