problem_id,model,difficulty,answer_file,test_file,passed,tests_passed,tests_total,tests_passed_pct,loc,error
1,chatgptv5.5,,1.txt,1.txt,True,115,115,100.0,8,
2,chatgptv5.5,,2.txt,2.txt,True,20,20,100.0,5,
3,chatgptv5.5,,3.txt,3.txt,True,87,87,100.0,14,
4,chatgptv5.5,,4.txt,4.txt,False,57,69,82.6086956521739,18,
5,chatgptv5.5,,5.txt,5.txt,True,95,95,100.0,16,
6,chatgptv5.5,,6.txt,6.txt,True,6,6,100.0,11,
7,chatgptv5.5,,7.txt,7.txt,True,96,96,100.0,11,
8,chatgptv5.5,,8.txt,8.txt,True,93,93,100.0,13,
9,chatgptv5.5,,9.txt,9.txt,True,75,75,100.0,14,
10,chatgptv5.5,,10.txt,10.txt,True,185,185,100.0,19,
11,chatgptv5.5,,11.txt,11.txt,True,183,183,100.0,13,
12,chatgptv5.5,,12.txt,12.txt,True,21,21,100.0,32,
13,chatgptv5.5,,13.txt,13.txt,True,71,71,100.0,26,
14,chatgptv5.5,,14.txt,14.txt,True,69,69,100.0,18,
15,chatgptv5.5,,15.txt,15.txt,True,159,159,100.0,18,
16,chatgptv5.5,,16.txt,16.txt,True,69,69,100.0,24,
17,chatgptv5.5,,17.txt,17.txt,True,122,122,100.0,19,
18,chatgptv5.5,,18.txt,18.txt,True,77,77,100.0,22,
19,chatgptv5.5,,19.txt,19.txt,False,123,128,96.09375,22,
20,chatgptv5.5,,20.txt,20.txt,False,61,64,95.3125,16,
21,chatgptv5.5,,21.txt,21.txt,False,31,95,32.631578947368425,106,
22,chatgptv5.5,,22.txt,22.txt,False,88,93,94.6236559139785,23,
23,chatgptv5.5,,23.txt,23.txt,True,1,1,100.0,58,
24,chatgptv5.5,,24.txt,24.txt,False,65,66,98.48484848484848,35,
25,chatgptv5.5,,25.txt,25.txt,True,117,117,100.0,43,
26,chatgptv5.5,,26.txt,26.txt,True,67,67,100.0,33,
27,chatgptv5.5,,27.txt,27.txt,True,8,8,100.0,26,
28,chatgptv5.5,,28.txt,28.txt,True,100,100,100.0,18,
29,chatgptv5.5,,29.txt,29.txt,False,0,92,0.0,39,
30,chatgptv5.5,,30.txt,30.txt,False,113,114,99.12280701754386,33,
